labels,ENG,JPN,DEU,NLD,ELL,SPA,TUR,POR,ITA,UKR
dspobjtxts6,Taskbar,タスクバー,Taskbar,Taakbalk,Γρ. εργασ.,Barra de tareas,Görev Çubuğu,Barra de tarefas,Taskbar,Панель завдань
dspobjtxts7,Icons,アイコン,Icons,Iconen,Εικονίδ.,Iconos,Simgeler,Ícones,Icone,Ярлики
dspobjtxts8,Content,コンテンツ,Inhalt,Inhoud,Περιεχ.,Contenido,İçerik,Conteúdo,Contenuto,Вміст
dspobjtxts9,Symbols,シンボル,Symbole,Symbolen,Σύμβολα,Símbolos,Semboller,Símbolos,Simboli,Символи
dspobjtxtsa,Startlogo,スタートロゴ,Startlogo,Startlogo,Λογότυπ.,Logo Inicio,Başlangıç Logosu,Logo inicial,Logo iniziale,Стартове лого
adt_2col,2 colours,２カラー,2 Farben,2 kleuren,2 χρ.,2 colores,2 renk,2 cores,2 colori,2 кольори
adt_4col,4 colours,４カラー,4 Farben,4 kleuren,4 χρ.,4 colores,4 renk,4 cores,4 colori,4 кольори
adt_16col,16 colours,１６カラー,16 Farben,16 kleuren,16 χρ.,16 colores,16 renk,16 cores,16 colori,16 кольорів
adt_vnormal,normal,ノーマル,normal,Normaal,κανον.,normal,normal,normal,normale,звичайний
adt_v512,512 virtual,５１２ バーチャル,512 virtuell,512 virt.,512 εικ.,512 virtual,512 sanal,512 virtual,512 virtuali,512 вірт.
adt_v1024,1024 virtual,1024 バーチャル,1024 virtuell,1024 virt.,1024 εικ.,1024 virtual,1024 sanal,1024 virtual,1024 virtuali,1024 вірт.
prgmsgpth1,Path too long.,パスがながすぎます。,Pfad zu lang.,Pad te lang,Διαδρ. πολύ μ/λη.,Ruta demasiado larga.,Yol fazla uzun.,Caminho muito longo.,Percorso troppo lungo,Шлях задовгий.
prgmsgpth2,The length of the full path,フルパスのながさは,Der Pfad darf nicht länger,Volledig pad,Η πλήρης διαδρ.,La longitud de la ruta completa,Tam yolun uzunluğu,Comprimento do caminho não,Usa un percorso di,Дозволено максимум
prgmsgpth3,shouldn't exceed 32 chars.,３２もじをこえてはいけません。,als 32 Zeichen sein.,max 32 tekens,<=32 χαρ.,no debe exceder 32 caracteres,32 karakteri geçmemelidir.,deve exceder 32 caracteres,massimo 32 caratteri,32 символи.
### pack2,19,240
prgtitlnk,Desktop and Startmenu Links,デスクトップとスタートメニューのリンク,Verknüpfungen,Snelkoppelingen,Συντομεύσεις,Atajos,Bağlantılar,Atalhos,Scorciatoie,"Ярлики роб.столу і меню""Пуск"""
prgbuttxt1,Ok,OK,Ok,OK,ΟΚ,Aceptar,Ok,Ok,Ok,Гаразд
prgbuttxt2,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο,Cancelar,İptal,Cancelar,Annulla,Скасувати
prgbuttxt3,Apply,てきよう,Überneh.,Bevestig,Εφαρμ.,Aplicar,Uygula,Aplicar,Applica,Задіяти
prgtxtlnk2a,Desktop,デスクトップ,Desktop,Bureaublad,Γραφείο,Escritorio,Masaüstü,Desktop ,Desktop,Роб. стіл
prgtxtlnk2b,Startmenu,スタートメニュー,Startmenu,Startmenu,Έναρξη,Menú Inicio,Başlat Menüsü,Menu Iniciar,Menù start,"Меню""Пуск"""
prgtxtlnk3a,Up,うえ,Auf,Op,Πάνω,Arriba,Yukarı,Ac.,Su,Вгору
prgtxtlnk3b,Down,した,Ab,Neer,Κάτω,Abajo,Aşağı,Ab.,Giu,Вниз
prgtxtlnk3c,Del,-,-,-,-,-,Sil,-,-,-
prgtxtlnk3d,Add,+,+,+,+,+,Ekle,+,+,+
prgtxtlnk4,Edit entry,エントリをへんしゅう,Bearbeiten,Bewerken,Επεξ. καταχ.,Editar,Girişi düzenle,Editar entrada,Imposta,Редагувати
prgtxtlnk5a,Path,パス,Pfad,Pad,Διαδρομή,Ruta,Yol,Cam.,Perc.,Шлях
prgtxtlnk5c,Browse...,せんたく...,Wählen...,Bladeren,Αναζήτ...,Explorar...,Gözat…,Buscar ,Sfoglia…,Огляд…
prgtxtlnk6a,Name,なまえ,Name,Naam,Όνομα,Nombre,Ad,Nome,Nome,Назва
prgtxtlnk7a,Icon,アイコン,Icon,Icoon,Εικον.,Icono,Simge,Ícone,Icona,Пікт.
prgtxtlnk7b,Use file icon,ファイルアイコンをしよう,Von Datei nehmen,Uit bestand halen,Εικον. αρχείου,Icono de archivo,Dosya simgesi kullan,Ícone do arquivo,Usa icona del file,З файлу
prgtxtlnk7c,Select icon...,アイコンをせんたく...,Icon wählen...,Icoon kiezen...,Επιλ. εικον...,Seleccionar…,Simgeyi seç…,Selecionar ícone...,Scegli icona…,Вибрати…
prgtxtlnk8a,XPos,Xざひょう,XPos,Xpos,X,PosX,XPos,PosX,XPos,поз.X
prgtxtlnk8b,YPos,Yざひょう,YPos,Ypos,Y,PosY,YPos,PosY,YPos,поз.Y
### pack3,40,671
prgokytxt,Ok,OK,Ok,OK,ΟΚ,Aceptar,Ok,Ok,Ok,Гаразд
prgcnctxt,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο,Cancelar,İptal,Cancelar,Annulla,Скасувати
prgapltxt,Apply,てきよう,Überneh,Bevestig,Εφαρμ,Aplicar,Uygula,Aplicar,Applica,Задіяти
stmtxttit,Startmenu Editor,スタートメニューエディター,Startmenu Editor,Startmenu-editor,Επεξ. Μενού Έναρξης,Editor de Menú Inicio,Başlat Menüsü Düzenleyici,Editor do Menu Iniciar,Editor menù start,"Редактор меню ""Пуск"""
stmtxtcls,Close,とじる,Schließen,Sluiten,Κλείσιμο,Cerrar,Kapat,Fechar,Chiudi,Закрити
tabmentxt,Menu,メニュー,Menü,Menu,Μενού,Menú,Menüsü,Menu,Menù,Меню
tabbuttxt,Button,ボタン,Knopf,Knop,#TRANSLATE#,Botón,Buton,Botão,Pulsante,Кнопка
stmtxtasc,Add shortcut,リンクをついか,Neue Verkn.,Nieuwe snelk.,Προσθ. συντ.,Añadir atajo,Kısayol ekle,+ Atalho,+Collegamento,+ Ярлик
stmtxtasm,Add submenu,メニューをついか,Neues Menü,Nieuw menu,Προσθ. υπομ.,Añadir menú,Alt menü ekle,+ Submenu,+Sottomenù,+ Підменю
stmtxtedi,Edit entry,エントリをへんしゅう,Bearbeiten,Bewerken,Επεξ. καταχ.,Editar entrada,Girişi düzenle,Editar entrada,Impostazioni,Параметри пункту
stmtxtnms,[entry is read only],［エントリはよみとりせんようです］,[schreibgeschützt],[alleen-lezen],[μόνο ανάν.],[solo lectura],[giriş salt okunur],[somente leitura],[voce di sola lettura],[незмінний]
stmtxtnmd,Name,なまえ,Name,Naam,Όνομα,Nombre,Ad,Nome,Nome,Ім'я:
stmtxtptd,Target,ターゲット,Ziel,Doel,Στόχος,Destino,Hedef,Destino,Destinazione,Об'єкт:
stmtxtbrw,Browse,せんたく,Wählen,Blader.,Αναζήτ.,Explorar,Gözat,Buscar ,Sfoglia,Огляд…
stmtxtstd,Start in,スタート,Läuft in,Start in,Έναρξη σε,Iniciar en,İçinde başla,Iniciar em,Esegui in,Роб. папка:
stmtxtrnd,Run,じっこう,Fenster,Venster,Εκτ.,Ejecutar,Başlat,Executar,Esegui,Виконати:
stmtxtrfs,Refresh,リフレッシュ,Aktualisieren,Vernieuwen,Ανανέωση,Refrescar,Tazele,Atualizar,Aggiorna,Оновити
stmtxtfav,Favourites,おきにいり,Favoriten,Favorieten,#TRANSLATE#,Favoritos,Favoriler,Favoritos,Fovoriti,Уподобання
stmtxtrun0,Default,デフォルト,Standard,Standaard,Προεπ.,Por defecto,Varsayılan,Padrão,Default,за замовчуванням
stmtxtrun1,Normal window,ノーマルウィンドウ,Normal,Normaal,Κανονικό,Ventana normal,Normal pencere,Janela normal,Finestra,Звичайний розмір
stmtxtrun2,Minimized,さいしょう,Minimiert,Geminimaliseerd,Ελαχ.,Minimizada,Küçültülmüş,Minimizado,Minimizzata,Згорнуте
stmtxtrun3,Maximized,さいだい,Maximiert,Gemaximaliseerd,Μεγ.,Maximizada,Büyütülmüş,Maximizado,Ingrandita,Розгорнуте
errmemtxt1,Memory full!,メモリがいっぱいです。,Speicher voll!,Geheugen vol!,Γέμισε μνήμη!,¡Memoria llena!,Bellek dolu!,Memória cheia!,Memoria Piena!,Пам'ять переповнена!
errmemtxt2,There is no memory left for,このそうさをかんりょうするための,Operation kann nicht,Onvoldoende geheugen,Δεν υπάρχει μνήμη,Operación no viable.,Bu işlemi tamamlamak için,Operação inviável. ,Non c'è abbastanza memoria,Недостатньо пам'яті для
errmemtxt3,completing this operation.,メモリがのこっていません。,ausgeführt werden.,voor deze actie.,για την ενέργεια.,,yeterli bellek kalmadı.,,per completare l'operazione,завершення цієї операції.
errnumtxt1,Too many entries! The maximum,エントリがおおすぎます。,Zu viele Einträge! Pro,Te veel items!,Πολλές καταχ.!,¡Demasiadas entradas!,Çok fazla giriş var!,Muitas entradas!,Troppe voci! Nei sottomenù,Забагато пунктів! Досягнута
errnumtxt2,amount of entries (24) for this,このサブメニューのさいだいすう,Untermenü sind bis zu,Aantal items (24) is bereikt,Μέγ. 24 στο,El número máximo para,En fazla 24 giriş,Máximo de 24 entradas possíveis. ,possono esserci 24 voci,макс. кількість пунктів (24)
errnumtxt3,submenu has been reached.,（２４）にたっしました。,24 Einträge möglich.,voor dit submenu.,υπομενού.,este submenú es 24.,mümkündür.,,al massimo.,для цього підменю.
errsubtxt1,Too many nested submenus!,サブメニューのかさねすぎです。,Zuviele Untermenüs!,Te veel submenu's!,Πολύ βαθιά υπομενού!,¡Demasiados submenús,Çok fazla alt menü var!,Muitos submenus aninhados!,Troppi sottomenù annidati.,Забагато вкладених підменю!
errsubtxt2,The deepest level for a,サブメニューのさいしんそうは,Das Maximum von 5 wurde,Het maximaal aantal items voor,Μέγ. βάθος 5.,anidados!,Alt menünün en derin,O nível mais profundo,Puoi usarne al massimo 5,Найглибший рівень для
errsubtxt3,submenu is 5.,５です。,überschritten.,submenu's is 5.,,El máximo es 5.,seviyesi 5'tir.,de submenu é 5.,uno dentro l'altro.,підменю — 5.
icnfrmtxt,Icon,アイコン,Symbol,Icoon,Εικον,Icono,Simge,Ícone,Icona,Піктограма
butfrmtxt,Button,ボタン,Knopf,Knop,#TRANSLATE#,Botón,Buton,Botão,Pulsante,Кнопка
icncoltxt,Colour,カラー,Farbe,Kleur,Χρώμα,Color,Renk,Cor,Colore,Колір
butwditxt,Icon width,アイコン Width,Symbolbreite,Pictogrambreedte,#TRANSLATE#,Ancho de icono,Simge genişliği,Tamanho do ícone,Larghezza icona,Ширина піктограми
butwdttxt,Total width,トータル Width,Gesamtbreite,Totale breedte,#TRANSLATE#,Ancho total,Toplam genişlik,Tamanho total,Larghezza totale,Ширина кнопки
butcpttxt,Caption,キャプション,Beschriftung,Bijschrift,#TRANSLATE#,Captura,Altyazı,Legenda,Legenda,Заголовок
butprttxt,Preview,プレビュー,Vorschau,Voorbeeld,Προεπ,Vista preliminar,Önizleme,Visualizar,Anteprima,Перегляд
icnlodtxt,Import SGX,インポート SGX,SGX importieren,SGX importeren,#TRANSLATE#,Importar SGX,SGX'i içe aktar,Importar SGX,Importa SGX,Імпорт SGX
icnsavtxt,Export SGX,エクスポート SGX,SGX exportieren,SGX exporteren,#TRANSLATE#,Exportar SGX,SGX'i dışa aktar,Exportar SGX,Esporta SGX,Експорт SGX
### pack4,63,854
prgbuttxt1,Ok,OK,Ok,OK,ΟΚ,Aceptar,Ok,Ok,Ok,Гаразд
prgbuttxt2,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο,Canc.,İptal,Cancel.,Annulla,Скасувати
prgbuttxt3,Apply,てきよう,Übern.,Bevestig,Εφαρμ.,Aplicar,Uygula,Aplicar,Applica,Задіяти
prgtittim,Date and Time,日時,Datum und Uhrzeit,Datum en tijd,Ημ/Ώρα,Fecha y Hora,Tarih ve Saat,Data e hora,Data e Ora,Дата й час
timtabtxt1,Time,時かん,Uhrzeit,Tijd,Ώρα,Hora,Saat,Hora,Ora,Час
timtabtxt2,Date,日づけ,Datum,Datum,Ημ/νία,Fecha,Tarih,Data,Data,Дата
timtabtxt3,Zone,タイムゾーン,Zone,Zone,Ζώνη,Zona,Dilim,Fuso,Zona,Зона
timdattxw0,W,W,W,W,ε ,S,H,D,S,Т
timdattxw1,M,月,M,M,Δ,L,P,S,L,Пн
timdattxw2,T,火,D,D,Τ,M,S,T,M,Вв
timdattxw3,W,水,M,W,Τ,X,Ç,Q,M,Ср
timdattxw4,T,木,D,D,Π,J,P,Q,G,Чт
timdattxw5,F,金,F,V,Π,V,C,S,V,Пт
timdattxw6,S,土,S,Z,Σ,S,C,S,S,Сб
timdattxw7,S,日,S,Z,Κ,D,P,D,D,Нд
timtxtchr,Hour,時,Stu.,Uur,Ώρα,Hora,Saat,Hora,Ora,Год.
timtxtcmn,Min.,分,Min.,Min.,Λεπ.,Min.,Dak.,Min.,Min.,Хвил.
timtxtcsc,Sec.,秒,Sek.,Sec.,Δευτ.,Seg.,San.,Seg.,Sec.,Сек.
timdatmt01,January,１月,Januar,Januari,Ιανουάριος,Enero,Ocak,Janeiro,Gennaio,Січень
timdatmt02,February,２月,Februar,Februari,Φεβρουάριος,Febrero,Şubat,Fevereiro,Febbraio,Лютий
timdatmt03,March,３月,März,Maart,Μάρτιος,Marzo,Mart,Março,Marzo,Березень
timdatmt04,April,４月,April,April,Απρίλιος,Abril,Nisan,Abril,Aprile,Квітень
timdatmt05,May,５月,Mai,Mei,Μάιος,Mayo,Mayıs,Maio,Maggio,Травень
timdatmt06,June,６月,Juni,Juni,Ιούνιος,Junio,Haziran,Junho,Giugno,Липень
timdatmt07,July,７月,Juli,Juli,Ιούλιος,Julio,Temmuz,Julho,Luglio,Червень
timdatmt08,August,８月,August,Augustus,Αύγουστος,Agosto,Ağustos,Agosto,Agosto,Серпень
timdatmt09,September,９月,September,September,Σεπτέμβριος,Septiembre,Eylül,Setembro,Settembre,Вересень
timdatmt10,October,１０月,Oktober,Oktober,Οκτώβριος,Octubre,Ekim,Outubro,Ottobre,Жовтень
timdatmt11,November,１１月,November,November,Νοέμβριος,Noviembre,Kasım,Novembro,Novembre,Листопад
timdatmt12,December,１２月,Dezember,December,Δεκέμβριος ,Diciembre,Aralık,Dezembro,Dicembre,Грудень
timdatdt0,Monday,月ようび,Montag,Maandag,Δευτέρα,Lunes,Pazartesi,Segunda-feira,Lunedì,Понеділок
timdatdt1,Tuesday,火ようび,Dienstag,Dinsdag,Τρίτη,Martes,Salı,Terça-feira,Martedì,Вівторок
timdatdt2,Wednesday,水ようび,Mittwoch,Woensdag,Τετάρτη,Miércoles,Çarşamba,Quarta-feira,Mercoledì,Середа
timdatdt3,Thursday,木ようび,Donnerstag,Donderdag,Πέμπτη,Jueves,Perşembe,Quinta-feira,Giovedì,Четвер
timdatdt4,Friday,金ようび,Freitag,Vrijdag,Παρασκευή,Viernes,Cuma,Sexta-feira,Venerdì,П'ятниця
timdatdt5,Saturday,土ようび,Samstag,Zaterdag,Σάββατο,Sábado,Cumartesi,Sábado,Sabato,Субота
timdatdt6,Sunday,日ようび,Sonntag,Zondag,Κυριακή ,Domingo,Pazar,Domingo,Domenica,Неділя
timzontxta,-12 Int.Dateline,-１２ デートライン,-12 Int.Datumsgrenze,-12 Intern. datumlijn,-12 Γρ. Ημερ.,-12 Línea intern. d.c. d.f.,-12 Int.Dateline,-12 Linha Int. de Data,-12 Iinea Inter. di cambiamento data,-12 Міжн. лінія зм. дат
timzontxtb,-11 Midway Island,-１１ ミッドウェーとう,-11 Midwayinseln,-11 Midway,-11 Μίντγουεϊ,-11 Islas Midway,-11 Midway Adası,-11 Ilha Midway,-11 Isole Midway,-11 Мідвей
timzontxtc,-10 Hawaii,-１０ ハワイ,-10 Hawaii,-10 Hawaï,-10 Χαβάη,-10 Hawai,-10 Hawaii,-10 Havaí,-10 Hawaii,-10 Гаваї
timzontxtd,-09 Alaska,-９ アラスカ,-09 Alaska,-09 Alaska,-09 Αλάσκα,-09 Alaska,-09 Alaska,-09 Alasca,-09 Alaska,-09 Аляска
timzontxte,-08 Los Angeles,-８ ロサンゼルス,-08 Los Angeles,-08 Los Angeles,-08 Λος Άντζελες,-08 Los Ángeles,-08 Los Angeles,-08 Los Angeles,-08 Los Angeles,-08 Лос-Анджелес
timzontxtf,"-07 Denver, Arizona",-７ デンバー、アリゾナ,"-07 Denver, Arizona","-07 Denver, Arizona","-07 Ντένβερ, Αριζ.","-07 Denver, Arizona","-07 Denver, Arizona","-07 Denver, Arizona","-07 Denver, Arizona","-07 Денвер, Арізона"
timzontxtg,-06 Chicago,-６ シカゴ,-06 Chicago,-06 Chicago,-06 Σικάγο,-06 Chicago,-06 Chicago,-06 Chicago,-06 Chicago,-06 Чикаго
timzontxth,-05 New York,-５ ニューヨーク,-05 New York,-05 New York,-05 Νέα Υόρκη,-05 Nueva York,-05 New York,-05 Nova York,-05 New York,-05 Нью-Йорк
timzontxti,-04 Santiago,-４ サンティアゴ,-04 Santiago,-04 Santiago,-04 Σαντιάγο,-04 Santiago,-04 Santiago,-04 Santiago,-04 Santiago,-04 Сантьяґо
timzontxtj,-03 Buenos Aires,-３ ブエノスアイレス,-03 Buenos Aires,-03 Buenos Aires,-03 Μπ. Άιρες,-03 Ciudad de Buenos Aires,-03 Buenos Aires,-03 Buenos Aires,-03 Buenos Aires,-03 Буенос-Айрес
timzontxtk,-02 Middle Atlantic,-２ ミドルアトランティック,-02 Mittelatlantik,-02 Midden-Atlantisch,-02 Μ. Ατλαντ.,-02 Atlántico Medio,-02 Orta Atlantik,-02 Atlântico Médio,-02 Atlantico Centrale,-02 середньоатлант. час
timzontxtl,"-01 Azores, Cabo Verde",-１ アゾレス、カーボベルデ,"-01 Azoren, Kapverden","-01 Azoren, Kaapverdië","-01 Αζόρες, Κ. Βέρντε","-01 Azores, Cabo Verde","-01 Azores, Cabo Verde","-01 Açores, Cabo Verde","-01 Azorre, Capo Verde","-01 Азорські о-ви, Кабо-Верде"
timzontxtm,"+00 London, Lissabon",+０ ロンドン、リスボン,"+00 London, Lissabon","+00 Londen, Lissabon","+00 Λονδ., Λισ.","+00 Londres, Lisboa","+00 Londra, Lizbon","+00 Londres, Lisboa","+00 Londra, Lisbona","+00 Лондон, Лісабон"
timzontxtn,"+01 Amsterdam, Berlin",+１ アムステルダム、ベルリン,"+01 Amsterdam, Berlin","+01 Amsterdam, Berlijn","+01 Άμστ., Βερλ.","+01 Ámsterdam, Berlín","+01 Amsterdam, Berlin","+01 Amsterdã, Berlim","+01 Amsterdam, Berlino","+01 Амстердам, Берлін"
timzontxto,"+02 Kiev, Helsinki",+２ キーエフ、ヘルシンキ,"+02 Kiew, Helsinki","+02 Kiev, Helsinki","+02 Κίεβο, Ελσ.","+02 Kiev, Helsinki","+02 Kiev, Helsinki","+02 Kiev, Helsinque","+02 Kiev, Helsinki","+02 Київ, Гельсінкі"
timzontxtp,+03 Constantinople,+３ コンスタンティノープル,+03 Konstantinopel,+03 Constantinopel,+03 Κων/πολη,+03 Estambul,+03 İstanbul,+03 Constantinopla,+03 Instambul,+03 Стамбул
timzontxtq,+04 Tiflis,+４ ティフリス,+04 Tiflis,+04 Tbilisi,+04 Τιφλίδα,+04 Tiflis,+04 Tiflis,+04 Tíflis,+04 Tbilisi,+04 Тбілісі
timzontxtr,+05 Male,+５ マーレ,+05 Malé,+05 Malé,+05 Μαλέ,+05 Malé,+05 Male,+05 Malé,+05 Malè,+05 Мале
timzontxts,+06 Dhaka,+６ ダッカ,+06 Dhaka,+06 Dhaka,+06 Ντάκα,+06 Dacca,+06 Dhaka,+06 Daca,+06 Dhaka,+06 Дакка
timzontxtt,"+07 Bangkok, Hanoi",+７ バンコク、ハノイ,"+07 Bangkok, Hanoi","+07 Bangkok, Hanoi","+07 Μπανγ., Ανόι","+07 Bangkok, Hanói","+07 Bangkok, Hanoi","+07 Bangkok, Hanói","+07 Bangkok, Hanoi","+07 Банґкок, Ханой"
timzontxtu,"+08 Beijing, Perth",+８ ペキン、パース,"+08 Peking, Perth","+08 Beijing, Perth","+08 Πεκίνο, Περθ","+08 Beijing, Perth","+08 Pekin, Perth","+08 Pequim, Perth","+08 Pechino, Perth","+08 Пекін, Перт"
timzontxtv,"+09 Tokyo, Seoul",+９ とうきょう、ソウル,"+09 Tokio, Seoul","+09 Tokio, Seoel","+09 Τόκιο, Σεούλ","+09 Tokio, Seúl","+09 Tokyo, Seul","+09 Tóquio, Seul","+09 Tokyo, Seoul","+09 Токіо, Сеул"
timzontxtw,+10 Sydney,+１０ シドニー,+10 Sydney,+10 Sydney,+10 Σίδνεϊ,+10 Sídney,+10 Sydney,+10 Sydney,+10 Sydney,+10 Сідней
timzontxtx,+11 New Caledonia,+１１ ニューカレドニア,+11 Neukaledonien,+11 Nieuw-Caledonië,+11 Ν. Καληδ.,+11 Nueva Caledonia,+11 Yeni Kaledonya,+11 Nova Caledônia,+11 Nuova Caledonia,+11 Нова Каледонія
timzontxty,+12 Auckland,+１２ オークランド,+12 Auckland,+12 Auckland,+12 Όκλαντ,+12 Auckland,+12 Auckland,+12 Auckland,+12 Auckland,+12 Окленд
timzontxtz,+13 Nuku'alofa,+１３ ヌクアロファ,+13 Nuku'alofa,+13 Nuku'alofa,+13 Νουκουαλόφα,+13 Nuku'alofa,+13 Nuku'alofa,+13 Nuku'alofa,+13 Nuku'alofa,+13 Нукуалофа
