labels,ENG,UKR,JPN,DEU,NLD,SPA,TUR,POR,ITA
sysmsgver3,SymbOS version. Please upgrade.,версія SymbOS. Оновіть її.,ひつようです。アップグレードしてください。,SymbOS Version. Bitte aktualisieren.,Vernieuw uw systeem.,moderna de SymbOS. Actualiza.,sürümü gerektirir. Lütfen yükseltin. ,Versão mais nova do SymbOS.,versione di SymbOS più recente.
sysmsgfnd1,File not found:,Файл не знайдено:,ファイルがみつかりません:,Datei nicht gefunden:,Bestand niet gevonden:,Archivo no encontrado:,Dosya bulunamadı:,Arquivo não encontrado:,File non trovato:
sysmsgfnd2,The file or the path don't exist.,Файл чи шлях до нього не існує.,そのファイルまたはパスはありません。,Bitte auf korrekten,Pad bestaat niet.,Comprueba tu entrada.,Dosya veya yol mevcut değil.,O arquivo ou caminho não existe.,File o percorso inesistenti.
sysmsgfnd3,Please check your input.,Перевірте вхідні дані.,にゅうりょくをたしかめてください。,Pfad überprüfen.,Controleer invoer.,,Lütfen girdiğiniz bilgileri kontrol edin.,"Por favor, verifique sua entrada.",Controlla cosa hai scritto.
sysmsgexe1,File is not executable:,Файл не є виконуваним:,じっこうできないファイルです:,Nicht ausführbar:,Niet uitvoerbaar:,No es ejecutable:,Çalıştırılabilir bir dosya değil.,Arquivo não é executável:,File non eseguibile:
sysmsgexe2,The selected file is not executable,Не працює під керуванням,せんたくしたファイルはSymbOSかんきょうで,Datei kann in SymbOS,Het geselecteerde bestand is,SymbOS no puede,Seçilen dosya SymbOS'ta,O arquivo selecionado,Il file selezionato non
sysmsgexe3,in the SymbOS environment.,SymbOS.,じっこうできません。,nicht geöffnet werden.,niet uitvoerbaar in SymbOS.,abrir el archivo.,açılamıyor. ,não é executável. ,è eseguibile.
sysmsgmem1,Memory full:,Пам'ять заповнена:,メモリがいっぱいです:,Speicher voll:,Geheugen tekort:,Memoria llena:,Bellek dolu:,Memória cheia:,Memoria esaurita:
sysmsgmem2,There is not enough memory for,Недостатньо пам'яті для,アプリケーションをじっこうするための,Nicht genug Speicher zum,Er is onvoldoende geheugen,No hay memoria suficiente para,Uygulamayı çalıştırmak için,O aplicativo não pôde ser executado. ,Impossibile eseguire
sysmsgmem3,executing the application.,запуску програми.,メモリがたりません。,Ausführen der Anwendung.,beschikbaar voor uitvoeren.,ejecutar esta aplicación.,yeterli bellek yok.,,l'applicazione.
sysmsglod1,Disc error while loading file,Помилка завантаження файлу,ファイルよみこみちゅうにディスクエラー。,Datenträgerfehler beim Laden,Schijfstoring bij laden,Error de disco al cargar archivo,Dosyayı yüklerken disk hatası,Erro de disco ao carregar arquivo,Errore del disco durante il caricamento
sysmsgdir1,Error while reading directory,Помилка читання каталогу,ディレクトリよみこみエラー,Fehler beim Ordner-Lesen,Fout bij map lezen,Error al leer directorio,Klasörü okurken hata,Erro ao ler diretório,Errore di lettura della cartella
filseltit1,Select file,Виберіть файл,ファイルをせんたく,Datei auswählen,Selecteer bestand,Seleccionar archivo,Dosya seç,Selecionar arquivo,Seleziona file
filseltit2,Select folder,Виберіть папку,フォルダをせんたく,Ordner auswählen,Selecteer map,Seleccionar carpeta,Klasör seç,Selecionar pasta,Seleziona cartella
filseltxt1,Look in:,Папка:,さがすばしょ:,Ort:,Zoeken in:,Mirar en:,İçine bak:,Buscar:,Guarda in:
filseltxt2,File name:,Ім'я:,ファイルめい:,Dateiname:,Naam:,Nombre:,Dosya adı:,Nome:,Nome:
filseltxt3,File type:,Тип:,ファイルタイプ:,Typ:,Type:,Tipo:,Dosya tipi:,Tipo:,Tipo:
filseltxt4,Folder:,Папка:,フォルダ:,Ordner:,Map:,Carpeta:,Klasör:,Pasta:,Cartella:
selopntab3a,Name,Ім'я,なまえ,Name,Naam,Nombre,Ad,Nome,Nome
selopntab3b,Size,Розмір,サイズ,Größe,Grootte,Tamaño,Boyut,Tamanho,Dim.
selopntab3c,Date modified,Дата,へんこうび,Geändert,Datum,Fecha,Düzenleme tarihi,Data,Data
selopntab3d,Attr.,Атриб.,アトリ,Attr.,Attr.,Attr.,Attr.,Atrib.,Attr.
_selopntab3e,-,-,-,-,-,-,-,-,-
dskctltx1,Restore,Відновити,リストア,Wiederherstellen,Herstel,Restaurar,Eski haline getir,Restaurar,Ripsristina
dskctltx2,Move,Перемістити,ムーブ,Verschieben,Verplaats ,Mover,Taşı,Mover,Sposta
dskctltx3,Resize,Змінити розмір,リサイズ,Größe ändern,Formaat,Redimensionar,Yeniden boyutlandır,Redimensionar,Ridimensiona
dskctltx4,Minimize,Згорнути,ミニマイズ,Minimieren,Minimaliseer,Minimizar,Küçült,Minimizar,Minimizza
dskctltx5,Maximize,Розгорнути,マキシマイズ,Maximieren,Maximaliseer,Maximizar,Büyüt,Maximizar,Ingrandisci
dskctltx7,Close,Закрити,クローズ,Schließen,Sluiten,Cerrar,Kapat,Fechar,Chiudi
